dataset,degrade_size,mean_acc,ci,mean_psnr,delta
isic,original (224),36.77333333333333,1.8153215766543038,,
isic,56×56,27.33333333333333,1.1255860695655395,32.707014083862305,-9.440000000000005
isic,112×112,36.906666666666666,1.6091316305524679,38.40515289306641,0.13333333333333286
chestx,original (224),21.840000000000003,1.228918975721707,,
chestx,56×56,19.413333333333334,1.0077510803764984,29.022496643066408,-2.4266666666666694
chestx,112×112,20.426666666666666,1.3593435278349126,35.583860092163086,-1.4133333333333375
eurosat,original (224),90.23999999999998,1.5794073937890616,,
eurosat,56×56,85.62666666666667,1.748364284441635,44.23060218811035,-4.6133333333333155
eurosat,112×112,90.08,1.6310180924127657,52.96431900024414,-0.15999999999998238
crop_disease,original (224),88.69333333333333,1.7079581779943491,,
crop_disease,56×56,68.98666666666666,2.748311533368159,23.090173873901367,-19.706666666666663
crop_disease,112×112,85.46666666666665,2.3293726384777695,27.262738914489745,-3.2266666666666737
